677 0.045  0.0084  0.084   0.06 0.038  0.0088  0.087  6.15 0.057  0.0093  0.183  2.66 
678 0.047  0.0133  0.087   5.85 0.040  0.0097  0.086  5.84 0.058  0.0209  0.089  5.79 
679 0.046  0.0102  0.075   6.07 0.042  0.0129  0.076  6.04 0.052  0.0057  0.073  6.06 
680 0.046  0.0074  0.070   0.43 0.042  0.0091  0.081  5.91 0.065  0.0204  0.030  3.08 
681 0.043  0.0082  0.073   0.48 0.039  0.0097  0.074  0.52 0.048  0.0057  0.070  0.39 
682 0.039  0.0139  0.081   6.26 0.034  0.0133  0.083  6.09 0.047  0.0152  0.078  0.18 
683 0.000  0.0000  0.000   0.00 0.000  0.0000  0.000  0.00 0.000  0.0000  0.000  0.00 
684 0.028  0.0071  0.091   5.38 0.024  0.0065  0.103  4.70 0.035  0.0095  0.081  6.00 
685 0.040  0.0126  0.084   5.91 0.036  0.0128  0.088  5.58 0.046  0.0127  0.080  0.03 
686 0.038  0.0152  0.084   0.02 0.034  0.0151  0.081  0.23 0.046  0.0110  0.081  6.16 
687 0.045  0.0107  0.081   5.92 0.042  0.0115  0.091  5.18 0.051  0.0128  0.075  0.28 
688 0.049  0.0089  0.079   5.96 0.046  0.0103  0.081  6.10 0.054  0.0085  0.083  5.38 
689 0.047  0.0042  0.070   0.16 0.046  0.0065  0.077  6.26 0.048  0.0062  0.155  1.40 
690 0.040  0.0044  0.068   6.12 0.034  0.0055  0.065  5.54 0.049  0.0095  0.048  1.84 
691 0.043  0.0068  0.072   0.22 0.041  0.0054  0.085  5.12 0.047  0.0127  0.069  0.82 
692 0.040  0.0046  0.063   0.34 0.037  0.0062  0.068  0.13 0.044  0.0025  0.055  0.76 
693 0.046  0.0114  0.059   1.44 0.050  0.0188  0.037  2.69 0.050  0.0123  0.074  0.50 
694 0.043  0.0083  0.078   6.22 0.041  0.0112  0.083  5.86 0.047  0.0045  0.066  0.83 
695 0.043  0.0090  0.084   6.16 0.038  0.0078  0.072  0.78 0.054  0.0138  0.093  5.38 
696 0.039  0.0050  0.074   0.07 0.039  0.0074  0.089  5.77 0.040  0.0047  0.161  0.84 
697 0.043  0.0092  0.079   6.20 0.039  0.0067  0.075  6.12 0.048  0.0130  0.083  6.14 
698 0.054  0.0199  0.061   1.48 0.043  0.0133  0.069  0.91 0.104  0.0643  0.037  2.87 
699 0.048  0.0135  0.074   0.47 0.045  0.0154  0.074  0.55 0.053  0.0107  0.071  0.34 
700 0.050  0.0161  0.070   0.83 0.042  0.0126  0.067  1.14 0.063  0.0231  0.076  0.31 
701 0.056  0.0217  0.074   0.53 0.044  0.0114  0.070  0.33 0.083  0.0508  0.081  0.30 
702 0.055  0.0207  0.074   0.54 0.046  0.0142  0.081  0.16 0.071  0.0339  0.068  0.87 
703 0.049  0.0116  0.077   0.25 0.044  0.0102  0.073  0.59 0.057  0.0144  0.084  5.98 
704 0.044  0.0092  0.071   0.58 0.040  0.0091  0.072  0.51 0.050  0.0092  0.072  0.44 
705 0.053  0.0180  0.039   2.70 0.037  0.0074  0.067  1.11 0.055  0.0107  0.067  1.03 
706 0.044  0.0060  0.188   0.45 0.039  0.0065  0.177  1.35 0.052  0.0084  0.195  5.81 
707 0.049  0.0052  0.079   5.97 0.043  0.0051  0.083  5.58 0.057  0.0059  0.080  6.25 
708 0.050  0.0237  0.096   5.49 0.036  0.0132  0.094  5.39 0.091  0.0566  0.095  5.68 
709 0.059  0.0049  0.170   5.33 0.053  0.0055  0.056  1.18 0.071  0.0078  0.184  4.12 
710 0.059  0.0142  0.041   2.42 0.044  0.0088  0.052  1.64 0.067  0.0101  0.067  1.13 
711 0.052  0.0118  0.068   1.10 0.050  0.0145  0.061  1.44 0.054  0.0091  0.077  0.67 
712 0.054  0.0081  0.053   1.52 0.081  0.0410  0.021  3.50 0.059  0.0066  0.075  6.24 
713 0.053  0.0108  0.065   1.16 0.046  0.0092  0.071  0.37 0.064  0.0151  0.079  0.92 
714 0.050  0.0091  0.088   6.17 0.043  0.0068  0.100  5.21 0.066  0.0182  0.069  1.16 
715 0.053  0.0151  0.057   1.69 0.043  0.0113  0.061  1.15 0.073  0.0295  0.047  2.49 
716 0.053  0.0159  0.058   1.49 0.044  0.0116  0.077  0.29 0.069  0.0221  0.064  1.12 
717 0.058  0.0182  0.070   1.19 0.050  0.0179  0.082  0.47 0.142  0.0921  0.023  3.60 
718 0.059  0.0226  0.058   1.93 0.051  0.0184  0.062  1.83 0.071  0.0294  0.054  2.09 
719 0.056  0.0177  0.052   2.09 0.075  0.0403  0.026  3.33 0.058  0.0166  0.071  1.23 
720 0.055  0.0181  0.055   2.11 0.046  0.0153  0.062  1.68 0.075  0.0303  0.039  2.96 
721 0.054  0.0161  0.064   1.54 0.047  0.0140  0.074  1.08 0.065  0.0213  0.051  2.15 
722 0.048  0.0105  0.069   1.05 0.047  0.0169  0.050  2.19 0.056  0.0085  0.067  1.21 
723 0.049  0.0141  0.055   1.47 0.042  0.0121  0.062  0.86 0.072  0.0297  0.036  2.75 
724 0.057  0.0238  0.042   2.38 0.044  0.0154  0.060  1.09 0.054  0.0167  0.066  1.23 
725 0.050  0.0170  0.050   2.15 0.048  0.0184  0.046  2.42 0.052  0.0141  0.063  1.26 
726 0.058  0.0232  0.039   2.76 0.063  0.0297  0.030  3.18 0.053  0.0165  0.056  1.93 
727 0.049  0.0143  0.053   1.71 0.039  0.0100  0.067  1.04 0.104  0.0614  0.022  3.36 
728 0.047  0.0138  0.063   1.18 0.042  0.0146  0.062  1.29 0.055  0.0119  0.068  0.78 
729 0.046  0.0104  0.070   0.82 0.044  0.0136  0.052  1.83 0.054  0.0098  0.090  6.05 
730 0.051  0.0135  0.050   2.03 0.041  0.0091  0.061  1.06 0.059  0.0136  0.081  0.45 
731 0.048  0.0111  0.077   0.28 0.041  0.0067  0.075  0.36 0.060  0.0192  0.077  0.25 
732 0.051  0.0139  0.075   0.33 0.045  0.0103  0.066  0.84 0.061  0.0211  0.083  6.16 
733 0.051  0.0125  0.081   6.18 0.048  0.0128  0.075  0.25 0.056  0.0128  0.088  5.75 
734 0.054  0.0127  0.065   1.41 0.047  0.0093  0.071  1.08 0.071  0.0226  0.048  2.17 
735 0.456  0.6792  0.129   2.57 0.452  0.6804  0.129  2.58 0.468  0.6828  0.129  2.58 
736 0.055  0.0187  0.066   1.21 0.046  0.0142  0.062  1.27 0.069  0.0269  0.071  1.10 
737 0.054  0.0165  0.069   0.84 0.053  0.0189  0.059  1.42 0.057  0.0167  0.083  0.06 
738 0.065  0.0302  0.040   2.42 0.051  0.0181  0.056  1.12 0.061  0.0250  0.072  0.96 
739 0.063  0.0200  0.068   1.07 0.061  0.0250  0.067  1.07 0.064  0.0142  0.069  1.08 
740 0.057  0.0235  0.060   1.51 0.056  0.0270  0.054  1.85 0.059  0.0204  0.070  0.81 
741 0.051  0.0190  0.073   0.84 0.062  0.0318  0.048  2.24 0.053  0.0185  0.086  0.07 
742 0.086  0.0510  0.033   2.90 0.061  0.0246  0.059  1.16 0.060  0.0232  0.071  0.95 
743 0.056  0.0147  0.058   1.11 0.049  0.0115  0.055  1.16 0.070  0.0244  0.050  1.97 
744 0.068  0.0204  0.078   1.16 0.075  0.0201  0.059  1.44 0.176  0.0584  0.077  1.72 
745 0.069  0.0379  0.070   1.05 0.054  0.0225  0.070  0.97 0.107  0.0787  0.064  1.46 
746 0.054  0.0171  0.071   1.02 0.049  0.0155  0.065  1.37 0.062  0.0203  0.075  0.73 
747 0.054  0.0146  0.079   0.42 0.047  0.0129  0.080  0.41 0.064  0.0167  0.077  0.34 
748 0.052  0.0136  0.072   0.88 0.046  0.0140  0.067  1.36 0.061  0.0156  0.079  0.13 
749 0.052  0.0089  0.071   0.91 0.112  0.0747  0.020  3.76 0.060  0.0118  0.081  6.03 
750 0.054  0.0072  0.084   1.11 0.051  0.0095  0.084  1.09 0.064  0.0075  0.183  5.28 
751 0.056  0.0051  0.056   1.18 0.056  0.0081  0.086  1.10 0.062  0.0089  0.078  5.48 
752 0.055  0.0092  0.067   1.23 0.052  0.0133  0.063  1.72 0.061  0.0079  0.073  0.04 
753 0.055  0.0035  0.159   5.50 0.053  0.0082  0.084  1.09 0.064  0.0085  0.188  3.65 
754 0.059  0.0080  0.062   1.15 0.051  0.0072  0.062  1.21 0.140  0.0829  0.016  3.88 
